"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","0","0","0","0","0","144","296","14","454"
"2020","1","0","0","0","0","0","168","364","35","567"
"2019","2","0","0","0","0","0","101","335","18","454"
"2019","1","0","0","0","0","0","171","329","36","536"
"2018","2","0","0","0","0","0","110","339","10","459"
"2018","1","0","0","0","0","0","171","331","34","536"
"2017","2","0","0","0","0","0","124","349","26","499"
"2017","1","0","0","0","0","0","201","378","36","615"
"2016","2","0","0","0","0","0","126","360","18","504"
"2016","1","0","0","0","0","0","208","370","48","626"
"2015","2","0","0","0","0","0","119","346","16","481"
"2015","1","0","0","0","0","0","210","376","32","618"
"2014","2","0","0","0","0","0","146","370","14","530"
"2014","1","0","0","0","0","0","111","309","19","439"
"2013","2","0","0","0","0","0","118","297","36","451"
"2013","1","0","0","0","0","0","217","379","37","633"
"2012","2","0","0","0","0","0","164","341","24","529"
"2012","1","0","0","0","0","0","219","380","26","625"
"2011","2","0","0","0","0","0","150","255","17","422"
"2011","1","0","0","0","0","0","206","375","45","626"
"2010","2","0","0","0","0","0","153","304","0","457"
"2010","1","0","0","0","0","0","205","413","45","663"
"2009","2","0","0","0","0","0","127","238","0","365"
"2009","1","0","0","0","0","0","153","300","21","474"
