"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","291","130","30","3","454"
"2020","1","316","187","58","6","567"
"2019","2","266","135","52","1","454"
"2019","1","305","161","67","3","536"
"2018","2","245","134","76","4","459"
"2018","1","282","186","68","0","536"
"2017","2","262","169","64","4","499"
"2017","1","290","246","79","0","615"
"2016","2","234","191","72","7","504"
"2016","1","327","226","70","3","626"
"2015","2","260","155","63","3","481"
"2015","1","298","220","96","4","618"
"2014","2","235","205","86","4","530"
"2014","1","220","170","46","3","439"
"2013","2","249","143","55","4","451"
"2013","1","298","237","94","4","633"
"2012","2","253","197","79","0","529"
"2012","1","296","234","94","1","625"
"2011","2","","","","","0"
"2011","1","282","231","113","0","626"
"2010","2","188","183","85","1","457"
"2010","1","298","272","92","1","663"
"2009","2","170","147","45","3","365"
"2009","1","193","202","79","0","474"
