"Año","Periodo","Administración","Ciencias exactas y naturales","Ingeniería y arquitectura","Total"
"2020","2","144","37","273","454"
"2020","1","168","86","313","567"
"2019","2","101","49","304","454"
"2019","1","171","88","277","536"
"2018","2","110","40","309","459"
"2018","1","171","82","283","536"
"2017","2","124","74","301","499"
"2017","1","201","83","331","615"
"2016","2","126","56","322","504"
"2016","1","208","99","319","626"
"2015","2","119","62","300","481"
"2015","1","210","81","327","618"
"2014","2","146","66","318","530"
"2014","1","111","48","280","439"
"2013","2","118","71","262","451"
"2013","1","217","84","332","633"
"2012","2","164","62","303","529"
"2012","1","219","81","325","625"
"2011","2","150","58","214","422"
"2011","1","206","109","311","626"
"2010","2","153","","304","457"
"2010","1","205","101","357","663"
"2009","2","127","","238","365"
"2009","1","153","64","257","474"
