"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","335","10","109","0","454"
"2020","1","391","10","166","0","567"
"2019","2","320","7","127","0","454"
"2019","1","382","5","149","0","536"
"2018","2","286","14","159","0","459"
"2018","1","361","10","165","0","536"
"2017","2","336","20","143","0","499"
"2017","1","418","10","186","1","615"
"2016","2","327","12","165","0","504"
"2016","1","446","10","170","0","626"
"2015","2","321","14","146","0","481"
"2015","1","409","16","193","0","618"
"2014","2","358","7","164","1","530"
"2014","1","303","3","133","0","439"
"2013","2","309","6","136","0","451"
"2013","1","443","7","183","0","633"
"2012","2","356","11","162","0","529"
"2012","1","435","5","185","0","625"
"2011","2","","","","","0"
"2011","1","381","14","230","1","626"
"2010","2","238","30","189","0","457"
"2010","1","414","18","231","0","663"
