"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","109","73","225","47","0","454"
"2020","1","139","93","233","102","0","567"
"2019","2","130","83","176","65","0","454"
"2019","1","160","99","192","85","0","536"
"2018","2","115","68","176","100","0","459"
"2018","1","157","99","188","92","0","536"
"2017","2","153","77","166","103","0","499"
"2017","1","190","117","224","84","0","615"
"2016","2","142","102","175","85","0","504"
"2016","1","198","114","229","85","0","626"
"2015","2","163","97","150","71","0","481"
"2015","1","163","108","241","106","0","618"
"2014","2","184","95","165","86","0","530"
"2014","1","152","74","155","58","0","439"
"2013","2","187","83","124","57","0","451"
"2013","1","194","123","226","90","0","633"
"2012","2","185","114","158","72","0","529"
"2012","1","210","128","206","81","0","625"
"2011","2","","","","","","0"
"2011","1","212","113","207","94","0","626"
"2010","2","149","80","154","74","0","457"
"2010","1","240","134","215","74","0","663"
