"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","0","0","0","0","0","1415","3382","127","4924"
"2020","1","0","0","0","0","0","1419","3338","132","4889"
"2019","2","0","0","0","0","0","1366","3302","110","4778"
"2019","1","0","0","0","0","0","1393","3242","122","4757"
"2018","2","0","0","0","0","0","1406","3273","92","4771"
"2018","1","0","0","0","0","0","1443","3247","107","4797"
"2017","2","0","0","0","0","0","1449","3282","120","4851"
"2017","1","0","0","0","0","0","1502","3285","121","4908"
"2016","2","0","0","0","0","0","1447","3316","114","4877"
"2016","1","0","0","0","0","0","1497","3313","120","4930"
"2015","2","0","0","0","0","0","1406","3272","84","4762"
"2015","1","0","0","0","0","0","1444","3285","96","4825"
"2014","2","0","0","0","0","0","1372","3229","85","4686"
"2014","1","0","0","0","0","0","1356","3115","90","4561"
"2013","2","0","0","0","0","0","1417","3082","104","4603"
"2013","1","0","0","0","0","0","1463","3089","94","4646"
"2012","2","0","0","0","0","0","1394","2992","86","4472"
"2012","1","0","0","0","0","0","1378","2931","70","4379"
"2011","2","0","0","0","0","0","1282","2782","67","4131"
"2011","1","0","0","0","0","0","1325","2763","74","4162"
"2010","2","0","0","0","0","0","1321","2649","39","4009"
"2010","1","0","0","0","0","0","1369","2723","67","4159"
"2009","2","0","0","0","0","0","1343","2639","33","4015"
"2009","1","0","0","0","0","0","1358","2678","54","4090"
