"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","3456","92","1376","0","4924"
"2020","1","3392","90","1407","0","4889"
"2019","2","3286","90","1402","0","4778"
"2019","1","3270","88","1399","0","4757"
"2018","2","3247","91","1433","0","4771"
"2018","1","3308","92","1397","0","4797"
"2017","2","3339","91","1419","2","4851"
"2017","1","3367","87","1452","2","4908"
"2016","2","3316","79","1481","1","4877"
"2016","1","3371","77","1482","0","4930"
"2015","2","3175","79","1504","4","4762"
"2015","1","3235","76","1510","4","4825"
"2014","2","3127","71","1485","3","4686"
"2014","1","3033","72","1454","2","4561"
"2013","2","3025","76","1499","3","4603"
"2013","1","3029","81","1532","4","4646"
"2012","2","2898","81","1489","4","4472"
"2012","1","2822","78","1475","4","4379"
"2011","2","","","","","0"
"2011","1","2611","67","1480","4","4162"
"2010","2","2271","170","1562","6","4009"
"2010","1","2386","163","1602","8","4159"
