"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","167","10","35","59","100","371"
"2020","1","142","10","37","61","88","338"
"2019","2","141","7","41","51","81","321"
"2019","1","147","6","42","50","69","314"
"2018","2","146","8","42","48","55","299"
"2018","1","126","7","43","49","40","265"
"2017","2","131","6","40","47","36","260"
"2017","1","127","11","49","45","18","250"
"2016","2","133","12","49","44","18","256"
"2016","1","123","12","57","46","6","244"
"2015","2","120","17","55","41","3","236"
"2015","1","126","13","67","45","3","254"
"2014","2","114","17","69","35","0","235"
"2014","1","100","20","71","36","0","227"
"2013","2","96","24","71","28","0","219"
"2013","1","93","28","77","31","0","229"
"2012","2","84","32","71","18","0","205"
"2012","1","76","34","79","20","0","209"
"2011","2","51","32","64","11","0","158"
"2011","1","51","35","72","13","0","171"
"2010","2","42","36","59","1","0","138"
"2010","1","45","44","62","5","0","156"
"2009","2","39","50","46","0","0","135"
"2009","1","36","55","44","0","0","135"
