"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Sin información","Total"
"2021","1","81","29","0","0","140","0","1300","117","0","1667"
"2020","2","78","29","0","0","146","0","1101","88","0","1442"
"2020","1","86","25","0","0","184","0","1351","155","0","1801"
"2019","2","64","20","0","0","169","0","1284","115","0","1652"
"2019","1","90","20","0","0","214","0","1329","164","0","1817"
"2018","2","85","20","0","0","223","0","1349","158","0","1835"
"2018","1","86","20","0","0","215","0","1330","165","0","1816"
"2017","2","54","20","0","0","187","0","1268","147","0","1676"
"2017","1","86","20","0","0","192","0","1345","172","0","1815"
"2016","2","78","19","0","0","187","0","1265","153","0","1702"
"2016","1","63","20","0","0","174","0","1355","165","0","1777"
"2015","2","68","22","0","0","189","0","1216","124","0","1619"
"2015","1","88","25","0","0","188","0","1361","137","0","1799"
"2014","2","64","20","0","0","143","0","1291","130","0","1648"
"2014","1","48","20","0","0","140","0","1237","92","0","1537"
"2013","2","30","19","0","0","110","0","1210","86","0","1455"
"2013","1","54","21","0","0","133","0","1201","131","0","1540"
"2012","2","33","19","0","0","148","0","1110","117","0","1427"
"2012","1","90","18","0","0","133","0","1365","149","0","1755"
"2011","2","39","20","0","0","166","0","1261","129","0","1615"
"2011","1","83","15","0","0","282","0","1429","148","0","1957"
"2010","2","59","15","0","0","205","0","1277","102","0","1658"
"2010","1","81","33","0","0","227","0","1409","138","0","1888"
"2009","2","71","20","0","0","173","0","1319","127","0","1710"
"2009","1","78","20","0","0","149","0","1388","97","0","1732"
"2008","2","74","16","0","0","146","0","1308","125","0","1669"
"2008","1","70","20","0","0","209","0","1307","120","0","1726"
