"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","1015","458","171","22","1","1667"
"2020","2","539","615","238","50","0","1442"
"2020","1","1328","325","108","40","0","1801"
"2019","2","630","669","252","101","0","1652"
"2019","1","1398","212","137","67","3","1817"
"2018","2","685","709","331","110","0","1835"
"2018","1","1282","346","139","49","0","1816"
"2017","2","633","601","325","117","0","1676"
"2017","1","1278","326","151","60","0","1815"
"2016","2","617","647","301","137","0","1702"
"2016","1","1210","337","167","62","1","1777"
"2015","2","565","662","284","108","0","1619"
"2015","1","1318","304","132","45","0","1799"
"2014","2","693","607","250","98","0","1648"
"2014","1","1039","316","138","44","0","1537"
"2013","2","632","549","202","72","0","1455"
"2013","1","1056","310","120","53","1","1540"
"2012","2","603","557","206","61","0","1427"
"2012","1","1239","316","153","47","0","1755"
"2011","2","687","598","253","77","0","1615"
"2011","1","1374","389","149","44","1","1957"
"2010","2","691","610","268","89","0","1658"
"2010","1","1321","383","131","51","2","1888"
"2009","2","846","554","226","84","0","1710"
"2009","1","1191","389","108","43","1","1732"
"2008","2","777","563","246","83","0","1669"
"2008","1","1285","276","116","48","1","1726"
