"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","1659","8","0","1667"
"2020","2","1428","14","0","1442"
"2020","1","1773","28","0","1801"
"2019","2","1628","24","0","1652"
"2019","1","1803","14","0","1817"
"2018","2","1820","15","0","1835"
"2018","1","1794","22","0","1816"
"2017","2","1665","11","0","1676"
"2017","1","1801","14","0","1815"
"2016","2","1687","15","0","1702"
"2016","1","1767","10","0","1777"
"2015","2","1613","6","0","1619"
"2015","1","1789","10","0","1799"
"2014","2","1638","10","0","1648"
"2014","1","1533","4","0","1537"
"2013","2","1447","8","0","1455"
"2013","1","1538","2","0","1540"
"2012","2","1424","3","0","1427"
"2012","1","1751","4","0","1755"
"2011","2","1608","7","0","1615"
