"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","43","11","26","42","88","210"
"2020","2","58","0","0","24","234","316"
"2020","1","46","18","35","50","90","239"
"2019","2","31","0","0","10","152","193"
"2019","1","44","17","42","47","83","233"
"2018","2","41","1","2","14","98","156"
"2018","1","43","29","49","48","57","226"
"2017","2","39","2","0","11","56","108"
"2017","1","42","17","42","41","13","155"
"2016","2","36","1","1","6","39","83"
"2016","1","37","22","43","38","8","148"
"2015","2","37","1","0","6","1","45"
"2015","1","37","17","45","42","3","144"
"2014","2","40","4","1","5","2","52"
"2014","1","38","26","24","41","0","129"
"2013","2","26","3","2","4","0","35"
"2013","1","32","28","43","34","","137"
"2012","2","31","2","0","6","","39"
"2012","1","40","24","72","58","","194"
"2011","2","25","1","2","6","","34"
"2011","1","25","24","77","47","","173"
"2010","2","18","1","4","5","","28"
"2010","1","18","23","55","33","","129"
"2009","2","12","3","12","","","27"
"2009","1","10","40","43","","","93"
"2008","2","14","9","16","","","39"
"2008","1","5","44","55","","","104"
