"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","3885","2107","711","80","2","6785"
"2020","2","1594","1775","771","362","3","4505"
"2020","1","4993","1905","543","306","3","7750"
"2019","2","1533","1430","559","215","1","3738"
"2019","1","6756","1904","893","466","13","10032"
"2018","2","2390","2120","853","345","0","5708"
"2018","1","6008","2266","686","296","1","9257"
"2017","2","2018","1770","717","245","0","4750"
"2017","1","5949","2080","607","232","1","8869"
"2016","2","1872","1777","706","311","0","4666"
"2016","1","6172","2285","687","291","1","9436"
"2015","2","2026","2027","760","284","0","5097"
"2015","1","5697","1925","526","216","1","8365"
"2014","2","2189","1939","743","275","0","5146"
