"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","4114","2142","502","27","6785"
"2020","2","2960","1220","280","45","4505"
"2020","1","4419","2555","723","53","7750"
"2019","2","2112","1249","356","21","3738"
"2019","1","6134","2963","835","100","10032"
"2018","2","3412","1764","484","48","5708"
"2018","1","5269","3035","886","67","9257"
"2017","2","2629","1603","484","34","4750"
"2017","1","4840","3100","860","69","8869"
"2016","2","2594","1609","417","46","4666"
"2016","1","4945","3503","937","51","9436"
"2015","2","2727","1855","469","46","5097"
"2015","1","4375","3127","833","30","8365"
"2014","2","2683","1912","482","69","5146"
