"Periodo";"Series 1 (low)";"Series 1 (q1)";"Series 1 (median)";"Series 1 (q3)";"Series 1 (high)"
"2014-2";243,7133;439,71475;505,4551;570,91195;766,8955
"2015-1";254,8593;446,4107;506,0632;574,263;765,4625
"2015-2";262,3542;442,8253;500,18165;564,38965;746,1874
"2016-1";260,9015;449,8188;513,5194;576,0689;765,2627
"2016-2";256,9813;440,65635;499,6598;565,69425;751,4566
"2017-1";262,2248;449,8103;511,8436;574,8687;762,1749
"2017-2";250,34;438,05;499,93;564,34;752,55
"2018-1";259,3874;449,1198;509,7612;576,0017;765,6292
"2018-2";223,6704;422,67735;491,6776;556,2388;755,5689
"2019-1";237,2941;421,0843;496,3959;565,21085;781,3042
"2019-2";261,134;440,6975;501,3251;564,0612;746,1752
"2020-1";265,577;449,0084;509,1376;572,446;757,5642
"2020-2";290,5935;453,64365;514,6154;564,33585;729,2308
"2021-1";278,3529;455,9026;519,6854;574,5542;750,2338
