"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","0","4","0","0","10","0","141","1","156"
"2020","1","11","18","0","0","60","0","502","22","613"
"2019","2","25","23","0","0","81","0","812","38","979"
"2019","1","9","8","0","0","18","0","192","7","234"
"2018","2","21","14","0","0","44","0","577","22","678"
"2018","1","13","15","0","0","43","0","514","16","601"
"2017","2","19","5","0","0","34","0","563","10","631"
"2017","1","15","11","0","0","79","0","504","19","628"
"2016","2","16","5","0","0","59","0","519","12","611"
"2016","1","8","11","0","0","90","0","502","30","641"
"2015","2","14","14","0","0","64","0","575","18","685"
"2015","1","20","12","0","0","64","0","525","9","630"
"2014","2","21","14","0","0","58","0","514","17","624"
"2014","1","13","14","0","0","73","0","479","14","593"
"2013","2","18","6","0","0","58","0","518","9","609"
"2013","1","19","14","0","0","40","0","535","17","625"
"2012","2","31","14","0","0","76","0","576","11","708"
"2012","1","26","11","0","0","53","0","457","14","561"
"2011","2","12","7","0","0","26","0","141","5","191"
"2011","1","31","11","0","0","95","0","495","18","650"
"2010","2","24","11","0","0","78","0","499","10","622"
"2010","1","31","24","0","0","116","0","663","18","852"
"2009","2","15","12","0","0","50","0","218","6","301"
"2009","1","40","10","0","0","83","0","587","12","732"
