"Año","Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información","Total"
"2020","2","59","64","33","0","156"
"2020","1","218","225","170","0","613"
"2019","2","376","317","286","0","979"
"2019","1","101","86","47","0","234"
"2018","2","310","202","166","0","678"
"2018","1","299","156","146","0","601"
"2017","2","307","171","153","0","631"
"2017","1","292","177","159","0","628"
"2016","2","275","196","140","0","611"
"2016","1","307","188","146","0","641"
"2015","2","316","203","166","0","685"
"2015","1","309","176","145","0","630"
"2014","2","283","195","146","0","624"
"2014","1","272","169","152","0","593"
"2013","2","231","182","196","0","609"
"2013","1","213","233","179","0","625"
"2012","2","274","235","199","0","708"
"2012","1","154","240","166","1","561"
"2011","2","78","44","69","0","191"
"2011","1","305","170","174","1","650"
"2010","2","316","171","133","2","622"
"2010","1","348","286","216","2","852"
