"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","66","63","27","0","156"
"2020","1","274","221","115","3","613"
"2019","2","459","367","134","19","979"
"2019","1","107","81","43","3","234"
"2018","2","286","277","110","5","678"
"2018","1","288","224","86","3","601"
"2017","2","260","265","104","2","631"
"2017","1","286","249","86","7","628"
"2016","2","246","284","81","0","611"
"2016","1","280","257","98","6","641"
"2015","2","300","270","85","30","685"
"2015","1","275","231","95","29","630"
"2014","2","258","245","90","31","624"
"2014","1","258","221","84","30","593"
"2013","2","238","237","78","56","609"
"2013","1","253","260","86","26","625"
"2012","2","297","298","107","6","708"
"2012","1","246","226","74","15","561"
"2011","2","79","77","35","0","191"
"2011","1","249","287","107","7","650"
"2010","2","243","279","99","1","622"
"2010","1","308","385","155","4","852"
"2009","2","119","138","39","5","301"
"2009","1","241","346","121","24","732"
