"Año","Periodo","Arquitectura","Ciencias","Ciencias agrarias","Ciencias humanas y económicas","Minas","Total"
"2020","2","17","6","","10","123","156"
"2020","1","66","67","49","60","371","613"
"2019","2","114","47","162","81","575","979"
"2019","1","18","2","58","18","138","234"
"2018","2","1","90","139","44","404","678"
"2018","1","73","60","53","43","372","601"
"2017","2","86","41","59","34","411","631"
"2017","1","60","69","65","79","355","628"
"2016","2","65","50","58","59","379","611"
"2016","1","63","63","49","90","376","641"
"2015","2","85","62","52","64","422","685"
"2015","1","57","37","48","64","424","630"
"2014","2","62","45","53","58","406","624"
"2014","1","58","40","52","73","370","593"
"2013","2","61","47","66","58","377","609"
"2013","1","67","40","69","40","409","625"
"2012","2","69","38","103","76","422","708"
"2012","1","39","40","69","53","360","561"
"2011","2","20","10","29","26","106","191"
"2011","1","96","53","84","95","322","650"
"2010","2","81","48","59","78","356","622"
"2010","1","123","83","82","116","448","852"
"2009","2","57","21","42","50","131","301"
"2009","1","60","76","87","83","426","732"
