"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","155","1","0","156"
"2020","1","611","2","0","613"
"2019","2","973","6","0","979"
"2019","1","233","1","0","234"
"2018","2","675","3","0","678"
"2018","1","601","0","0","601"
"2017","2","630","1","0","631"
"2017","1","628","0","0","628"
"2016","2","611","0","0","611"
"2016","1","639","2","0","641"
"2015","2","685","0","0","685"
"2015","1","630","0","0","630"
"2014","2","624","0","0","624"
"2014","1","591","1","1","593"
"2013","2","609","0","0","609"
"2013","1","625","0","0","625"
"2012","2","707","0","1","708"
"2012","1","558","0","3","561"
"2011","2","191","0","0","191"
"2011","1","649","0","1","650"
"2010","2","619","2","1","622"
"2010","1","852","0","0","852"
