"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","2","1","2","0","0","5"
"2020","1","7","14","8","5","0","34"
"2019","2","15","16","17","11","1","60"
"2019","1","1","1","2","2","0","6"
"2018","2","9","10","18","9","0","46"
"2018","1","8","6","14","8","0","36"
"2017","2","8","9","14","8","0","39"
"2017","1","2","6","17","5","0","30"
"2016","2","5","7","16","2","0","30"
"2016","1","7","10","12","0","0","29"
"2015","2","3","12","13","3","0","31"
"2015","1","1","8","15","2","0","26"
"2014","2","7","14","7","0","0","28"
"2014","1","6","10","15","0","0","31"
"2013","2","5","12","10","0","0","27"
"2013","1","4","4","5","0","0","13"
"2012","2","4","12","7","0","0","23"
"2012","1","4","9","5","0","0","18"
"2011","2","1","1","3","0","0","5"
"2011","1","3","15","6","0","0","24"
"2010","2","5","13","8","0","0","26"
"2010","1","1","13","6","0","0","20"
"2009","2","3","2","2","0","0","7"
"2009","1","5","12","6","0","0","23"
