"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","5","","1","150","156"
"2020","1","34","","16","563","613"
"2019","2","60","","20","899","979"
"2019","1","6","","3","225","234"
"2018","2","46","","14","618","678"
"2018","1","36","","7","558","601"
"2017","2","39","","8","584","631"
"2017","1","30","","15","583","628"
"2016","2","30","","10","571","611"
"2016","1","29","","4","608","641"
"2015","2","31","","8","646","685"
"2015","1","26","","8","596","630"
"2014","2","28","","4","592","624"
"2014","1","31","","1","561","593"
"2013","2","27","","1","581","609"
"2013","1","13","","","612","625"
"2012","2","23","","","685","708"
"2012","1","18","","","543","561"
"2011","2","5","","","186","191"
"2011","1","24","","","626","650"
"2010","2","26","","","596","622"
"2010","1","20","","","832","852"
"2009","2","7","","","294","301"
"2009","1","23","1","","708","732"
