"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","190","767","238","38","0","1233"
"2020","1","388","658","95","31","0","1172"
"2019","2","59","907","283","92","0","1341"
"2019","1","358","765","143","82","0","1348"
"2018","2","72","875","325","92","0","1364"
"2018","1","441","650","135","46","0","1272"
"2017","2","215","730","310","102","0","1357"
"2017","1","262","818","139","65","0","1284"
"2016","2","191","787","295","128","0","1401"
"2016","1","244","802","185","65","0","1296"
"2015","2","193","695","280","106","0","1274"
"2015","1","612","548","121","42","0","1323"
"2014","2","40","891","305","101","0","1337"
"2014","1","449","523","138","41","0","1151"
"2013","2","160","722","214","62","0","1158"
"2013","1","169","821","141","43","0","1174"
"2012","2","151","689","211","59","1","1111"
"2012","1","643","459","145","46","0","1293"
"2011","2","","","","","","0"
"2011","1","315","979","164","56","1","1515"
"2010","2","214","742","278","85","0","1319"
"2010","1","307","937","159","46","2","1451"
"2009","2","265","650","218","63","2","1198"
"2009","1","335","789","84","31","0","1239"
