"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","742","401","83","7","1233"
"2020","1","576","424","169","3","1172"
"2019","2","730","485","125","1","1341"
"2019","1","662","485","197","4","1348"
"2018","2","732","470","157","5","1364"
"2018","1","582","453","236","1","1272"
"2017","2","723","467","161","6","1357"
"2017","1","580","483","210","11","1284"
"2016","2","765","470","160","6","1401"
"2016","1","542","524","228","2","1296"
"2015","2","672","436","163","3","1274"
"2015","1","551","527","240","5","1323"
"2014","2","651","523","159","4","1337"
"2014","1","520","440","187","4","1151"
"2013","2","632","419","103","4","1158"
"2013","1","486","470","214","4","1174"
"2012","2","590","400","111","10","1111"
"2012","1","591","513","183","6","1293"
"2011","2","","","","","0"
"2011","1","659","639","214","3","1515"
"2010","2","680","527","109","3","1319"
"2010","1","637","569","232","13","1451"
"2009","2","652","437","107","2","1198"
"2009","1","503","508","219","9","1239"
