"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","892","8","333","0","1233"
"2020","1","759","0","413","0","1172"
"2019","2","919","14","408","0","1341"
"2019","1","803","9","536","0","1348"
"2018","2","881","14","469","0","1364"
"2018","1","710","13","549","0","1272"
"2017","2","869","14","473","1","1357"
"2017","1","701","10","572","1","1284"
"2016","2","904","12","483","2","1401"
"2016","1","683","11","600","2","1296"
"2015","2","782","21","469","2","1274"
"2015","1","681","17","625","0","1323"
"2014","2","858","14","463","2","1337"
"2014","1","561","18","572","0","1151"
"2013","2","681","30","447","0","1158"
"2013","1","561","18","593","2","1174"
"2012","2","669","30","412","0","1111"
"2012","1","636","33","623","1","1293"
"2011","2","","","","","0"
"2011","1","755","48","711","1","1515"
"2010","2","746","39","533","1","1319"
"2010","1","670","36","745","0","1451"
