"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","305","158","0","0","1027","0","9619","600","11709"
"2020","1","50","22","0","0","113","0","972","89","1246"
"2019","2","262","167","0","0","1021","0","9104","549","11103"
"2019","1","279","169","0","0","995","0","8775","524","10742"
"2018","2","262","182","0","0","959","0","8735","499","10637"
"2018","1","257","188","0","0","917","0","8745","479","10586"
"2017","2","255","187","0","0","883","0","8708","478","10511"
"2017","1","287","179","0","0","843","0","8780","465","10554"
"2016","2","280","169","0","0","866","0","8842","437","10594"
"2016","1","278","166","0","0","843","0","8794","417","10498"
"2015","2","288","167","0","0","881","0","8860","398","10594"
"2015","1","287","171","0","0","833","0","8727","370","10388"
"2014","2","282","163","0","0","797","0","8641","352","10235"
"2014","1","288","159","0","0","801","0","8569","342","10159"
"2013","2","310","174","0","0","836","0","8408","360","10088"
"2013","1","354","164","0","0","872","0","8374","361","10125"
"2012","2","334","162","0","0","857","0","8416","381","10150"
"2012","1","397","161","0","0","898","0","8578","369","10403"
"2011","2","365","168","0","0","942","0","8416","345","10236"
"2011","1","399","160","0","0","968","0","8332","354","10213"
"2010","2","389","171","0","0","888","0","8142","316","9906"
"2010","1","431","183","0","0","893","0","8156","341","10004"
"2009","2","434","177","0","0","868","0","7893","314","9686"
"2009","1","461","177","0","0","855","0","8205","320","10018"
