"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","6167","4063","1432","47","11709"
"2020","1","630","438","172","6","1246"
"2019","2","5648","3932","1480","43","11103"
"2019","1","5374","3812","1507","49","10742"
"2018","2","5261","3811","1508","57","10637"
"2018","1","5159","3843","1530","54","10586"
"2017","2","5146","3862","1461","42","10511"
"2017","1","5076","3932","1502","44","10554"
"2016","2","5148","3950","1459","37","10594"
"2016","1","4949","4042","1475","32","10498"
"2015","2","5088","4038","1428","40","10594"
"2015","1","4882","4029","1407","70","10388"
"2014","2","4844","3959","1313","119","10235"
"2014","1","4823","3943","1324","69","10159"
"2013","2","4798","3933","1294","63","10088"
"2013","1","4683","3993","1334","115","10125"
"2012","2","4764","4041","1300","45","10150"
"2012","1","4810","4218","1335","40","10403"
"2011","2","","","","","0"
"2011","1","4621","4160","1385","47","10213"
"2010","2","4497","4021","1344","44","9906"
"2010","1","4437","4119","1396","52","10004"
"2009","2","4318","4012","1314","42","9686"
"2009","1","4297","4260","1418","43","10018"
