"Año","Periodo","Arquitectura","Ciencias","Ciencias agrarias","Ciencias humanas y económicas","Minas","Total"
"2020","2","1097","1596","1513","1027","6476","11709"
"2020","1","117","211","210","113","595","1246"
"2019","2","1080","1404","1435","1021","6163","11103"
"2019","1","1051","1340","1436","995","5920","10742"
"2018","2","1052","1301","1411","959","5914","10637"
"2018","1","1066","1267","1381","917","5955","10586"
"2017","2","1065","1249","1375","883","5939","10511"
"2017","1","1081","1241","1410","843","5979","10554"
"2016","2","1069","1219","1400","866","6040","10594"
"2016","1","1048","1212","1391","843","6004","10498"
"2015","2","1058","1187","1398","881","6070","10594"
"2015","1","1059","1150","1347","833","5999","10388"
"2014","2","1038","1106","1303","797","5991","10235"
"2014","1","1017","1072","1264","801","6005","10159"
"2013","2","1028","1073","1304","836","5847","10088"
"2013","1","1013","1104","1367","872","5769","10125"
"2012","2","990","1104","1383","857","5816","10150"
"2012","1","970","1072","1535","898","5928","10403"
"2011","2","957","1019","1431","942","5887","10236"
"2011","1","982","988","1445","968","5830","10213"
"2010","2","990","949","1374","888","5705","9906"
"2010","1","1032","963","1462","893","5654","10004"
"2009","2","988","900","1394","868","5536","9686"
"2009","1","1002","950","1467","855","5744","10018"
