"Año","Periodo","Especial","Regular","Total"
"2020","2","1694","10015","11709"
"2020","1","197","1049","1246"
"2019","2","1336","9767","11103"
"2019","1","1240","9502","10742"
"2018","2","1003","9634","10637"
"2018","1","1000","9586","10586"
"2017","2","870","9641","10511"
"2017","1","855","9699","10554"
"2016","2","841","9753","10594"
"2016","1","827","9671","10498"
"2015","2","790","9804","10594"
"2015","1","799","9589","10388"
"2014","2","730","9505","10235"
"2014","1","811","9348","10159"
"2013","2","664","9424","10088"
"2013","1","706","9419","10125"
"2012","2","567","9583","10150"
"2012","1","604","9799","10403"
"2011","2","461","9775","10236"
"2011","1","482","9731","10213"
"2010","2","389","9517","9906"
"2010","1","423","9581","10004"
"2009","2","336","9350","9686"
"2009","1","368","9650","10018"
