"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","7311","91","4305","2","11709"
"2020","1","818","0","428","0","1246"
"2019","2","6655","111","4336","1","11103"
"2019","1","6294","109","4339","0","10742"
"2018","2","6156","121","4360","0","10637"
"2018","1","6042","123","4421","0","10586"
"2017","2","6055","118","4326","12","10511"
"2017","1","5983","123","4439","9","10554"
"2016","2","6063","119","4398","14","10594"
"2016","1","5843","123","4520","12","10498"
"2015","2","5947","144","4493","10","10594"
"2015","1","5759","133","4487","9","10388"
"2014","2","5751","136","4335","13","10235"
"2014","1","5598","142","4408","11","10159"
"2013","2","5409","171","4496","12","10088"
"2013","1","5369","165","4579","12","10125"
"2012","2","5387","259","4493","11","10150"
"2012","1","5426","308","4655","14","10403"
"2011","2","","","","","0"
"2011","1","5156","363","4678","16","10213"
"2010","2","5023","361","4506","16","9906"
"2010","1","5013","365","4608","18","10004"
