"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Medellín - Sinifaná","PEAMA - Orinoquía","PEAMA - Tumaco","Total"
"2020","2","128","50","27","281","125","611"
"2020","1","22","4","2","9","11","48"
"2019","2","101","51","34","222","101","509"
"2019","1","96","45","63","176","98","478"
"2018","2","77","29","","138","68","312"
"2018","1","87","29","","136","52","304"
"2017","2","78","23","","130","34","265"
"2017","1","79","22","","117","28","246"
"2016","2","90","23","","124","14","251"
"2016","1","89","27","","127","6","249"
"2015","2","83","28","","117","1","229"
"2015","1","85","25","","112","0","222"
"2014","2","73","26","","104","","203"
"2014","1","95","34","","130","","259"
"2013","2","48","19","","87","","154"
"2013","1","51","24","","91","","166"
"2012","2","26","17","","50","","93"
"2012","1","25","12","","48","","85"
"2011","2","12","10","","39","","61"
"2011","1","3","7","","30","","40"
"2010","2","17","4","","9","","30"
"2010","1","15","0","","2","","17"
"2009","2","1","0","","2","","3"
"2009","1","0","0","","0","","0"
