"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","7564","4145","11709"
"2020","1","856","390","1246"
"2019","2","7313","3790","11103"
"2019","1","7093","3649","10742"
"2018","2","7069","3568","10637"
"2018","1","7043","3543","10586"
"2017","2","7001","3510","10511"
"2017","1","7038","3516","10554"
"2016","2","7040","3554","10594"
"2016","1","6983","3515","10498"
"2015","2","7102","3492","10594"
"2015","1","6912","3476","10388"
"2014","2","6803","3432","10235"
"2014","1","6740","3419","10159"
"2013","2","6599","3489","10088"
"2013","1","6580","3545","10125"
"2012","2","6508","3642","10150"
"2012","1","6649","3754","10403"
"2011","2","6555","3681","10236"
"2011","1","6512","3701","10213"
"2010","2","6254","3652","9906"
"2010","1","6286","3718","10004"
"2009","2","6027","3659","9686"
"2009","1","6310","3708","10018"
