"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","1083","","611","10015","11709"
"2020","1","149","","48","1049","1246"
"2019","2","827","","509","9767","11103"
"2019","1","762","","478","9502","10742"
"2018","2","691","","312","9634","10637"
"2018","1","696","","304","9586","10586"
"2017","2","605","","265","9641","10511"
"2017","1","609","","246","9699","10554"
"2016","2","589","1","251","9753","10594"
"2016","1","577","1","249","9671","10498"
"2015","2","561","","229","9804","10594"
"2015","1","576","1","222","9589","10388"
"2014","2","526","1","203","9505","10235"
"2014","1","551","1","259","9348","10159"
"2013","2","509","1","154","9424","10088"
"2013","1","539","1","166","9419","10125"
"2012","2","473","1","93","9583","10150"
"2012","1","517","2","85","9799","10403"
"2011","2","398","2","61","9775","10236"
"2011","1","440","2","40","9731","10213"
"2010","2","358","1","30","9517","9906"
"2010","1","403","3","17","9581","10004"
"2009","2","331","2","3","9350","9686"
"2009","1","367","1","","9650","10018"
