"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-1",58,8,,1
"2008-2",33,9,,
"2009-1",57,8,,
"2009-2",51,4,,
"2010-1",73,5,1,
"2010-2",41,2,1,
"2011-1",96,6,,
"2011-2",62,5,,1
"2012-1",93,5,1,
"2012-2",72,3,1,1
"2013-1",75,10,2,3
"2013-2",71,3,,1
"2014-1",94,15,1,
"2014-2",87,2,,
"2015-1",69,11,1,
"2015-2",51,3,,
"2016-1",79,8,1,1
"2016-2",88,6,,
"2017-1",199,15,3,4
"2017-2",162,5,2,2
"2018-1",240,19,1,4
"2018-2",222,13,,2
"2019-1",244,13,3,4
"2019-2",237,11,1,7
"2020-1",224,30,1,9
"2020-2",210,12,1,3
