"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-1",233,14,1,5
"2008-2",99,19,1,
"2009-1",445,26,2,6
"2009-2",155,9,1,
"2010-1",365,22,1,17
"2010-2",128,8,1,
"2011-1",834,28,2,7
"2011-2",201,12,,5
"2012-1",851,41,6,17
"2012-2",224,12,5,1
"2013-1",534,35,6,44
"2013-2",247,10,,5
"2014-1",689,50,4,19
"2014-2",332,10,,8
"2015-1",729,57,6,14
"2015-2",255,8,1,5
"2016-1",432,21,1,6
"2016-2",276,22,3,5
"2017-1",1884,71,6,41
"2017-2",799,22,2,20
"2018-1",1444,52,2,59
"2018-2",1097,42,1,27
"2019-1",1945,56,7,32
"2019-2",1306,51,2,28
"2020-1",1399,103,7,76
"2020-2",1139,44,3,36
