"Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información"
"2009-1",,,,,106
"2009-2",,,,,150
"2010-1",112,29,29,,
"2010-2",124,28,26,,
"2011-1",170,44,43,1,
"2011-2",70,16,21,1,182
"2012-1",231,53,48,2,
"2012-2",239,51,48,3,
"2013-1",265,62,70,4,4
"2013-2",294,64,73,4,
"2014-1",404,94,122,6,
"2014-2",351,77,92,4,
"2015-1",350,83,105,7,
"2015-2",359,82,107,6,
"2016-1",365,87,120,9,
"2016-2",367,96,133,11,
"2017-1",390,118,170,14,
"2017-2",439,135,170,15,1
"2018-1",492,150,202,27,
"2018-2",561,170,213,26,
"2019-1",578,195,236,25,2
