"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","287","52","8","5","352"
"2020","2","287","36","2","8","333"
"2020","1","277","39","3","24","343"
"2019","2","254","48","6","10","318"
"2019","1","250","57","8","7","322"
"2018","2","226","70","8","12","316"
"2018","1","251","59","10","11","331"
"2017","2","262","51","5","8","326"
"2017","1","241","52","7","11","311"
"2016","2","246","56","12","12","326"
"2016","1","340","64","9","11","424"
"2015","2","233","72","14","6","325"
"2015","1","301","76","8","8","393"
"2014","2","290","80","18","10","398"
"2014","1","218","124","17","6","365"
"2013","2","163","95","15","1","274"
"2013","1","305","77","13","11","406"
"2012","2","260","97","27","9","393"
"2012","1","404","99","11","12","526"
"2011","2","258","80","9","8","355"
"2011","1","326","74","17","8","425"
"2010","2","214","74","20","4","312"
"2010","1","232","84","21","17","354"
"2009","2","245","103","23","5","376"
"2009","1","0","0","0","0","0"
"2008","2","248","110","15","4","377"
"2008","1","209","120","29","12","370"
