"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","350","2","0","352"
"2020","2","332","1","0","333"
"2020","1","343","0","0","343"
"2019","2","318","0","0","318"
"2019","1","319","3","0","322"
"2018","2","314","2","0","316"
"2018","1","329","2","0","331"
"2017","2","326","0","0","326"
"2017","1","310","1","0","311"
"2016","2","323","3","0","326"
"2016","1","423","1","0","424"
"2015","2","323","2","0","325"
"2015","1","393","0","0","393"
"2014","2","398","0","0","398"
"2014","1","365","0","0","365"
"2013","2","271","3","0","274"
"2013","1","405","1","0","406"
"2012","2","393","0","0","393"
"2012","1","524","2","0","526"
"2011","2","352","3","0","355"
