"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","228","264","103","18","0","613"
"2020","2","205","395","169","78","2","849"
"2020","1","298","282","133","54","1","768"
"2019","2","196","325","162","56","0","739"
"2019","1","506","420","201","88","3","1218"
"2018","2","207","402","175","50","0","834"
"2018","1","352","389","201","62","0","1004"
"2017","2","248","418","194","39","1","900"
"2017","1","346","392","182","59","0","979"
"2016","2","216","399","163","51","0","829"
"2016","1","370","416","150","50","0","986"
"2015","2","279","521","162","51","0","1013"
"2015","1","352","412","119","39","0","922"
"2014","2","304","439","163","34","0","940"
