"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","505","85","11","12","613"
"2020","2","726","89","11","23","849"
"2020","1","633","88","10","37","768"
"2019","2","596","107","19","17","739"
"2019","1","1013","145","21","39","1218"
"2018","2","659","137","17","21","834"
"2018","1","798","145","17","44","1004"
"2017","2","742","125","16","17","900"
"2017","1","782","159","16","22","979"
"2016","2","646","133","27","23","829"
"2016","1","801","146","19","20","986"
"2015","2","797","171","31","14","1013"
"2015","1","716","173","17","16","922"
"2014","2","710","181","36","13","940"
