"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","609","4","0","613"
"2020","2","847","2","0","849"
"2020","1","766","2","0","768"
"2019","2","737","2","0","739"
"2019","1","1209","9","0","1218"
"2018","2","832","2","0","834"
"2018","1","1001","3","0","1004"
"2017","2","899","1","0","900"
"2017","1","977","2","0","979"
"2016","2","826","3","0","829"
"2016","1","983","3","0","986"
"2015","2","1010","3","0","1013"
"2015","1","920","2","0","922"
"2014","2","938","2","0","940"
