"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","11","16","0","0","0","19","111","0","157"
"2020","1","16","13","0","0","0","18","96","0","143"
"2019","2","16","29","0","0","0","37","135","0","217"
"2019","1","6","11","0","0","0","13","84","0","114"
"2018","2","31","16","0","0","0","30","158","0","235"
"2018","1","23","20","0","0","0","38","187","0","268"
"2017","2","34","21","0","0","0","27","135","0","217"
"2017","1","23","18","0","0","0","28","117","0","186"
"2016","2","10","24","0","0","0","22","136","0","192"
"2016","1","13","18","0","0","0","30","113","0","174"
"2015","2","25","29","0","0","0","8","91","0","153"
"2015","1","31","22","0","0","0","19","101","0","173"
"2014","2","17","23","0","0","0","16","88","0","144"
"2014","1","22","15","0","0","0","11","71","0","119"
"2013","2","27","20","0","0","0","23","81","0","151"
"2013","1","14","13","0","0","0","16","95","0","138"
"2012","2","20","12","0","0","0","25","83","0","140"
"2012","1","13","15","0","0","0","11","48","0","87"
"2011","2","16","8","0","0","0","3","48","0","75"
"2011","1","9","20","0","0","0","32","101","0","162"
"2010","2","8","21","0","0","0","25","98","0","152"
"2010","1","13","15","0","0","0","22","102","0","152"
"2009","2","28","22","0","0","0","32","106","0","188"
"2009","1","14","12","0","0","0","29","117","0","172"
