"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","111","40","6","0","157"
"2020","1","108","29","5","1","143"
"2019","2","158","46","10","3","217"
"2019","1","80","24","8","2","114"
"2018","2","169","57","7","2","235"
"2018","1","187","67","12","2","268"
"2017","2","152","54","7","4","217"
"2017","1","127","48","9","2","186"
"2016","2","130","48","13","1","192"
"2016","1","115","48","8","3","174"
"2015","2","97","47","7","2","153"
"2015","1","117","39","13","4","173"
"2014","2","91","44","7","2","144"
"2014","1","79","29","8","3","119"
"2013","2","99","42","6","4","151"
"2013","1","97","36","4","1","138"
"2012","2","88","44","5","3","140"
"2012","1","54","29","2","2","87"
"2011","2","46","23","4","2","75"
"2011","1","93","50","10","9","162"
"2010","2","91","47","13","1","152"
"2010","1","98","42","12","0","152"
"2009","2","123","52","6","7","188"
"2009","1","103","41","4","24","172"
