"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","156","1","0","157"
"2020","1","142","1","0","143"
"2019","2","215","2","0","217"
"2019","1","114","0","0","114"
"2018","2","235","0","0","235"
"2018","1","268","0","0","268"
"2017","2","216","1","0","217"
"2017","1","185","1","0","186"
"2016","2","192","0","0","192"
"2016","1","173","1","0","174"
"2015","2","152","1","0","153"
"2015","1","173","0","0","173"
"2014","2","144","0","0","144"
"2014","1","119","0","0","119"
"2013","2","151","0","0","151"
"2013","1","138","0","0","138"
"2012","2","140","0","0","140"
"2012","1","87","0","0","87"
"2011","2","74","0","1","75"
"2011","1","162","0","0","162"
"2010","2","152","0","0","152"
"2010","1","152","0","0","152"
