"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","8","0","3","8","0","19"
"2020","1","3","0","4","1","0","8"
"2019","2","8","0","2","4","0","14"
"2019","1","1","0","3","1","0","5"
"2018","2","12","1","9","9","0","31"
"2018","1","10","0","15","18","0","43"
"2017","2","11","0","7","4","0","22"
"2017","1","2","0","5","5","0","12"
"2016","2","4","1","5","5","0","15"
"2016","1","6","2","2","4","0","14"
"2015","2","5","0","4","1","0","10"
"2015","1","9","0","5","0","0","14"
"2014","2","4","1","2","0","0","7"
"2014","1","3","0","4","0","0","7"
"2013","2","6","0","2","0","0","8"
"2013","1","3","0","4","0","0","7"
"2012","2","3","2","9","0","0","14"
"2012","1","7","0","1","0","0","8"
"2011","2","5","0","2","0","0","7"
"2011","1","2","1","3","0","0","6"
"2010","2","2","1","2","0","0","5"
"2010","1","4","0","2","0","0","6"
"2009","2","1","0","0","0","0","1"
"2009","1","2","0","2","0","0","4"
