"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","25","178","64","8","0","275"
"2020","1","47","151","51","11","0","260"
"2019","2","11","145","85","17","0","258"
"2019","1","30","140","56","11","0","237"
"2018","2","17","159","78","18","0","272"
"2018","1","49","136","53","8","0","246"
"2017","2","36","150","67","14","0","267"
"2017","1","25","137","60","21","0","243"
"2016","2","29","145","71","10","0","255"
"2016","1","30","196","72","20","0","318"
"2015","2","49","172","47","13","0","281"
"2015","1","64","172","55","9","0","300"
"2014","2","14","224","82","15","0","335"
"2014","1","31","77","22","5","0","135"
"2013","2","32","134","38","9","0","213"
"2013","1","20","213","74","13","0","320"
"2012","2","50","198","67","18","0","333"
"2012","1","118","215","69","15","0","417"
"2011","2","","","","","","0"
"2011","1","31","238","59","18","0","346"
"2010","2","48","124","52","11","0","235"
"2010","1","26","175","65","22","1","289"
"2009","2","62","152","51","12","0","277"
"2009","1","0","2","7","2","0","11"
