"Año","Periodo","Ciencias agropecuarias","Ingeniería y administración","Total"
"2020","2","94","181","275"
"2020","1","100","160","260"
"2019","2","99","159","258"
"2019","1","97","140","237"
"2018","2","120","152","272"
"2018","1","109","137","246"
"2017","2","111","156","267"
"2017","1","88","155","243"
"2016","2","91","164","255"
"2016","1","130","188","318"
"2015","2","89","192","281"
"2015","1","113","187","300"
"2014","2","106","229","335"
"2014","1","42","93","135"
"2013","2","43","170","213"
"2013","1","103","217","320"
"2012","2","105","228","333"
"2012","1","153","264","417"
"2011","2","96","152","248"
"2011","1","120","226","346"
"2010","2","56","179","235"
"2010","1","91","198","289"
"2009","2","91","186","277"
"2009","1","","11","11"
