"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","275","0","0","275"
"2020","1","259","1","0","260"
"2019","2","258","0","0","258"
"2019","1","234","3","0","237"
"2018","2","270","2","0","272"
"2018","1","245","1","0","246"
"2017","2","267","0","0","267"
"2017","1","242","0","1","243"
"2016","2","253","0","2","255"
"2016","1","318","0","0","318"
"2015","2","279","2","0","281"
"2015","1","300","0","0","300"
"2014","2","335","0","0","335"
"2014","1","135","0","0","135"
"2013","2","210","0","3","213"
"2013","1","319","0","1","320"
"2012","2","333","0","0","333"
"2012","1","415","0","2","417"
"2011","2","","","","0"
"2011","1","346","0","0","346"
"2010","2","235","0","0","235"
"2010","1","289","0","0","289"
"2009","2","277","0","0","277"
"2009","1","11","0","0","11"
