"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","227","8","40","0","275"
"2020","1","201","6","53","0","260"
"2019","2","199","3","56","0","258"
"2019","1","189","3","45","0","237"
"2018","2","185","14","73","0","272"
"2018","1","179","4","63","0","246"
"2017","2","185","8","74","0","267"
"2017","1","177","9","57","0","243"
"2016","2","189","7","59","0","255"
"2016","1","240","11","67","0","318"
"2015","2","199","9","73","0","281"
"2015","1","223","10","67","0","300"
"2014","2","238","8","89","0","335"
"2014","1","96","4","35","0","135"
"2013","2","141","8","64","0","213"
"2013","1","230","10","79","1","320"
"2012","2","220","10","99","4","333"
"2012","1","320","13","81","3","417"
"2011","2","","","","","0"
"2011","1","255","3","87","1","346"
"2010","2","154","9","72","0","235"
"2010","1","192","8","89","0","289"
