"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","40","0","0","9","36","85"
"2020","1","28","0","5","27","14","74"
"2019","2","24","0","0","3","21","48"
"2019","1","7","0","6","10","24","47"
"2018","2","28","0","0","2","12","42"
"2018","1","8","0","7","6","14","35"
"2017","2","18","0","0","1","6","25"
"2017","1","14","0","3","14","6","37"
"2016","2","24","0","0","5","3","32"
"2016","1","15","0","4","16","0","35"
"2015","2","20","0","0","2","1","23"
"2015","1","13","0","6","15","1","35"
"2014","2","19","0","0","2","0","21"
"2014","1","5","0","3","7","0","15"
"2013","2","3","0","0","2","0","5"
"2013","1","11","0","18","14","0","43"
"2012","2","18","0","0","5","0","23"
"2012","1","24","0","24","40","0","88"
"2011","2","7","0","11","7","0","25"
"2011","1","11","0","14","13","0","38"
"2010","2","8","1","3","0","0","12"
"2010","1","10","0","5","2","0","17"
"2009","2","4","0","6","0","0","10"
"2009","1","0","0","0","0","0","0"
