"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","130","45","83","17","0","275"
"2020","1","136","36","82","6","0","260"
"2019","2","115","34","93","16","0","258"
"2019","1","87","32","106","12","0","237"
"2018","2","104","47","100","21","0","272"
"2018","1","104","45","77","20","0","246"
"2017","2","115","42","98","12","0","267"
"2017","1","127","35","69","12","0","243"
"2016","2","118","48","83","6","0","255"
"2016","1","161","57","87","13","0","318"
"2015","2","125","43","86","27","0","281"
"2015","1","126","42","113","19","0","300"
"2014","2","156","59","100","20","0","335"
"2014","1","63","19","46","7","0","135"
"2013","2","80","40","71","22","0","213"
"2013","1","167","55","88","10","0","320"
"2012","2","162","55","92","24","0","333"
"2012","1","243","58","100","16","0","417"
"2011","2","","","","","","0"
"2011","1","154","81","97","14","0","346"
"2010","2","104","46","69","16","0","235"
"2010","1","126","65","82","16","0","289"
