"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","124","151","275"
"2020","1","114","146","260"
"2019","2","128","130","258"
"2019","1","111","126","237"
"2018","2","139","133","272"
"2018","1","133","113","246"
"2017","2","126","141","267"
"2017","1","129","114","243"
"2016","2","117","138","255"
"2016","1","144","174","318"
"2015","2","139","142","281"
"2015","1","149","151","300"
"2014","2","188","147","335"
"2014","1","88","47","135"
"2013","2","130","83","213"
"2013","1","174","146","320"
"2012","2","203","130","333"
"2012","1","228","189","417"
"2011","2","143","105","248"
"2011","1","202","144","346"
"2010","2","141","94","235"
"2010","1","177","112","289"
"2009","2","147","130","277"
"2009","1","7","4","11"
