"Año","Periodo","PAES","PEAMA","Regular","Total"
"2020","2","85","","190","275"
"2020","1","74","","186","260"
"2019","2","48","","210","258"
"2019","1","47","","190","237"
"2018","2","42","","230","272"
"2018","1","35","1","210","246"
"2017","2","25","","242","267"
"2017","1","37","","206","243"
"2016","2","32","","223","255"
"2016","1","35","","283","318"
"2015","2","23","","258","281"
"2015","1","35","","265","300"
"2014","2","21","","314","335"
"2014","1","15","7","113","135"
"2013","2","5","","208","213"
"2013","1","43","","277","320"
"2012","2","23","","310","333"
"2012","1","88","","329","417"
"2011","2","25","","223","248"
"2011","1","38","","308","346"
"2010","2","12","","223","235"
"2010","1","17","","272","289"
"2009","2","10","","267","277"
"2009","1","","","11","11"
