"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","56","832","1462","402","0","2752"
"2020","1","55","702","1461","416","0","2634"
"2019","2","19","648","1497","425","0","2589"
"2019","1","34","695","1403","413","0","2545"
"2018","2","25","681","1459","418","0","2583"
"2018","1","62","678","1503","389","0","2632"
"2017","2","55","768","1523","381","0","2727"
"2017","1","27","677","1646","464","0","2814"
"2016","2","61","804","1580","381","0","2826"
"2016","1","35","705","1668","461","0","2869"
"2015","2","82","885","1446","385","0","2798"
"2015","1","77","863","1468","372","0","2780"
"2014","2","15","736","1541","454","0","2746"
"2014","1","45","828","1354","390","0","2617"
"2013","2","53","959","1309","374","1","2696"
"2013","1","25","877","1373","433","1","2709"
"2012","2","93","975","1212","361","1","2642"
"2012","1","135","901","1147","320","3","2506"
"2011","2","","","","","","0"
"2011","1","39","687","1212","369","3","2310"
"2010","2","77","651","1174","299","4","2205"
"2010","1","35","568","1253","349","4","2209"
"2009","2","74","653","1237","298","8","2270"
"2009","1","16","560","1300","376","0","2252"
