"Año","Periodo","Ciencias agropecuarias","Ingeniería y administración","Total"
"2020","2","1000","1752","2752"
"2020","1","969","1665","2634"
"2019","2","950","1639","2589"
"2019","1","913","1632","2545"
"2018","2","880","1703","2583"
"2018","1","881","1751","2632"
"2017","2","888","1839","2727"
"2017","1","908","1906","2814"
"2016","2","910","1916","2826"
"2016","1","926","1943","2869"
"2015","2","872","1926","2798"
"2015","1","863","1917","2780"
"2014","2","839","1907","2746"
"2014","1","794","1823","2617"
"2013","2","864","1832","2696"
"2013","1","912","1797","2709"
"2012","2","869","1773","2642"
"2012","1","817","1689","2506"
"2011","2","760","1590","2350"
"2011","1","759","1551","2310"
"2010","2","711","1494","2205"
"2010","1","715","1494","2209"
"2009","2","704","1566","2270"
"2009","1","703","1549","2252"
