"Año","Periodo","No","Sí","Total"
"2020","2","2477","275","2752"
"2020","1","2374","260","2634"
"2019","2","2331","258","2589"
"2019","1","2308","237","2545"
"2018","2","2311","272","2583"
"2018","1","2386","246","2632"
"2017","2","2460","267","2727"
"2017","1","2571","243","2814"
"2016","2","2571","255","2826"
"2016","1","2551","318","2869"
"2015","2","2517","281","2798"
"2015","1","2480","300","2780"
"2014","2","2411","335","2746"
"2014","1","2482","135","2617"
"2013","2","2483","213","2696"
"2013","1","2389","320","2709"
"2012","2","2309","333","2642"
"2012","1","2089","417","2506"
"2011","2","2102","248","2350"
"2011","1","1964","346","2310"
"2010","2","1970","235","2205"
"2010","1","1920","289","2209"
"2009","2","1993","277","2270"
"2009","1","2241","11","2252"
