"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","2743","9","0","2752"
"2020","1","2623","11","0","2634"
"2019","2","2577","12","0","2589"
"2019","1","2533","12","0","2545"
"2018","2","2571","12","0","2583"
"2018","1","2624","8","0","2632"
"2017","2","2719","6","2","2727"
"2017","1","2807","5","2","2814"
"2016","2","2818","6","2","2826"
"2016","1","2863","6","0","2869"
"2015","2","2790","8","0","2798"
"2015","1","2773","7","0","2780"
"2014","2","2740","6","0","2746"
"2014","1","2611","0","6","2617"
"2013","2","2688","0","8","2696"
"2013","1","2703","0","6","2709"
"2012","2","2638","0","4","2642"
"2012","1","2501","0","5","2506"
"2011","2","","","","0"
"2011","1","2306","0","4","2310"
"2010","2","2201","0","4","2205"
"2010","1","2205","0","4","2209"
"2009","2","2267","0","3","2270"
"2009","1","2249","0","3","2252"
