"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","PEAMA - Tumaco","Total"
"2020","2","28","2","51","107","188"
"2020","1","24","2","45","96","167"
"2019","2","22","1","38","89","150"
"2019","1","22","3","32","70","127"
"2018","2","22","4","29","44","99"
"2018","1","24","6","24","29","83"
"2017","2","24","7","26","12","69"
"2017","1","22","9","23","9","63"
"2016","2","19","9","26","3","57"
"2016","1","20","10","25","0","55"
"2015","2","17","10","22","0","49"
"2015","1","15","11","24","0","50"
"2014","2","14","10","22","","46"
"2014","1","17","11","26","","54"
"2013","2","7","7","16","","30"
"2013","1","8","8","14","","30"
"2012","2","7","5","10","","22"
"2012","1","7","2","7","","16"
"2011","2","8","2","5","","15"
"2011","1","2","2","4","","8"
"2010","2","2","1","4","","7"
"2010","1","2","0","2","","4"
"2009","2","1","0","0","","1"
"2009","1","0","0","0","","0"
