"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","1266","1486","2752"
"2020","1","1241","1393","2634"
"2019","2","1249","1340","2589"
"2019","1","1251","1294","2545"
"2018","2","1288","1295","2583"
"2018","1","1332","1300","2632"
"2017","2","1378","1349","2727"
"2017","1","1452","1362","2814"
"2016","2","1465","1361","2826"
"2016","1","1508","1361","2869"
"2015","2","1500","1298","2798"
"2015","1","1511","1269","2780"
"2014","2","1515","1231","2746"
"2014","1","1424","1193","2617"
"2013","2","1469","1227","2696"
"2013","1","1471","1238","2709"
"2012","2","1458","1184","2642"
"2012","1","1369","1137","2506"
"2011","2","1301","1049","2350"
"2011","1","1258","1052","2310"
"2010","2","1203","1002","2205"
"2010","1","1191","1018","2209"
"2009","2","1221","1049","2270"
"2009","1","1213","1039","2252"
