"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2008-2",12,20,16,3,0
"2009-2",15,19,4,1,0
"2010-1",22,21,5,3,0
"2010-2",18,35,15,3,0
"2011-1",36,32,10,5,0
"2011-2",24,36,18,2,0
"2012-1",42,25,15,1,0
"2012-2",16,40,17,5,0
"2013-1",51,28,8,3,0
"2013-2",24,35,15,2,0
"2014-1",51,21,2,3,0
"2014-2",31,27,6,4,0
"2015-1",45,31,11,2,0
"2015-2",25,25,2,1,0
"2016-1",51,32,4,3,0
"2016-2",21,27,9,2,0
"2017-1",64,37,6,2,0
"2017-2",33,36,12,2,0
"2018-1",93,34,5,0,0
"2018-2",38,52,30,4,0
"2019-1",100,24,6,1,1
"2019-2",48,33,10,4,0
"2020-1",90,38,4,0,0
"2020-2",51,46,21,3,0
