"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2008-2",42,100,54,16,0
"2009-2",32,74,35,18,0
"2010-1",111,135,67,21,1
"2010-2",44,97,79,31,1
"2011-1",135,153,82,32,1
"2011-2",55,123,63,30,0
"2012-1",245,299,114,37,1
"2012-2",52,107,68,28,0
"2013-1",231,208,73,38,0
"2013-2",99,152,94,27,1
"2014-1",230,191,78,33,0
"2014-2",104,117,59,31,0
"2015-1",211,153,53,23,0
"2015-2",102,156,61,24,0
"2016-1",213,162,38,19,0
"2016-2",80,99,48,15,0
"2017-1",324,274,87,52,0
"2017-2",142,145,63,27,0
"2018-1",367,246,119,39,0
"2018-2",254,302,173,112,1
"2019-1",497,299,98,59,4
"2019-2",128,126,36,19,0
"2020-1",440,325,62,7,0
"2020-2",208,293,125,41,0
