"Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información"
"2009-1",0,2,2,39,0
"2009-2",6,28,8,32,1
"2010-1",7,61,24,32,0
"2010-2",13,81,46,26,0
"2011-1",12,97,69,24,0
"2011-2",,,,,
"2012-1",28,103,90,23,0
"2012-2",15,131,111,34,0
"2013-1",14,135,144,40,0
"2013-2",19,162,148,38,0
"2014-1",58,225,182,41,0
"2014-2",8,147,185,49,0
"2015-1",33,181,186,48,0
"2015-2",30,185,177,57,0
"2016-1",13,171,212,78,0
"2016-2",21,180,216,70,0
"2017-1",32,157,254,85,0
"2017-2",44,182,239,63,0
"2018-1",56,210,241,80,0
"2018-2",13,242,294,89,0
"2019-1",47,244,274,91,0
"2019-2",23,271,299,86,0
