"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Sin información","Total"
"2021","1","117","199","0","405","717","298","1005","322","0","3063"
"2020","2","107","148","0","352","578","284","919","342","0","2730"
"2020","1","120","171","0","495","765","292","1027","403","0","3273"
"2019","2","108","164","0","395","624","340","978","355","0","2964"
"2019","1","110","179","0","510","770","396","980","392","0","3337"
"2018","2","121","165","0","429","624","370","955","374","0","3038"
"2018","1","128","171","0","630","801","387","1056","456","35","3664"
"2017","2","108","166","0","419","593","337","923","419","0","2965"
"2017","1","120","187","0","511","773","243","984","451","0","3269"
"2016","2","125","181","0","404","668","230","962","434","0","3004"
"2016","1","114","182","0","470","791","236","912","437","0","3142"
"2015","2","106","177","0","391","652","252","913","436","0","2927"
"2015","1","110","194","0","476","801","237","901","443","0","3162"
"2014","2","111","194","0","399","674","227","881","420","0","2906"
"2014","1","101","174","0","354","698","217","865","400","0","2809"
"2013","2","91","158","0","314","623","230","803","366","0","2585"
"2013","1","104","181","0","473","829","265","1086","434","0","3372"
"2012","2","51","150","0","249","727","244","1049","487","0","2957"
"2012","1","105","158","0","439","801","228","1068","538","0","3337"
"2011","2","101","178","0","391","670","222","990","453","0","3005"
"2011","1","116","184","0","447","748","289","1006","541","0","3331"
"2010","2","111","184","0","365","736","281","988","534","0","3199"
"2010","1","104","178","0","429","776","283","973","513","0","3256"
"2009","2","99","159","0","400","553","192","906","455","0","2764"
"2009","1","103","163","0","421","742","180","925","435","0","2969"
"2008","2","100","158","0","380","594","176","925","418","0","2751"
"2008","1","101","156","0","420","729","177","910","444","0","2937"
