"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","1575","961","432","94","1","3063"
"2020","2","984","1135","488","123","0","2730"
"2020","1","2149","761","270","91","2","3273"
"2019","2","1253","1162","424","124","1","2964"
"2019","1","2391","562","275","106","3","3337"
"2018","2","1206","1170","502","160","0","3038"
"2018","1","2415","833","328","88","0","3664"
"2017","2","1109","1177","512","166","1","2965"
"2017","1","2093","768","307","100","1","3269"
"2016","2","1116","1227","516","145","0","3004"
"2016","1","1906","798","335","103","0","3142"
"2015","2","1052","1252","490","133","0","2927"
"2015","1","1976","807","291","88","0","3162"
"2014","2","1137","1158","474","137","0","2906"
"2014","1","1779","685","255","90","0","2809"
"2013","2","1104","973","385","123","0","2585"
"2013","1","2061","868","325","117","1","3372"
"2012","2","1344","1083","383","147","0","2957"
"2012","1","2092","818","321","106","0","3337"
"2011","2","1290","1093","449","171","2","3005"
"2011","1","1949","905","356","119","2","3331"
"2010","2","1423","1154","454","167","1","3199"
"2010","1","2064","783","302","101","6","3256"
"2009","2","1286","977","374","125","2","2764"
"2009","1","1944","728","222","75","0","2969"
"2008","2","1212","953","430","155","1","2751"
"2008","1","1818","733","306","78","2","2937"
